"Dataset Index","Dose","N","Effect"
"exp_n83",0.710466390277921,30,6
"exp_n83",0.713230871247266,30,17
"exp_n83",0.748509036914037,30,21
"exp_n83",0.756099375360276,30,4
"exp_n83",0.761087148779723,71,0
"exp_n83",0.762985568765592,30,8
"exp_n83",0.770427762614065,2,0
"exp_n83",0.774596745543847,3,0
"exp_n83",0.780502293570569,30,11
"exp_n83",0.782440530706593,3,3
"exp_n83",0.808208295009395,30,24
"exp_n83",0.854770766145629,30,23
"exp_n83",0.85552891899489,30,2
"exp_n83",0.856243147837628,4,0
"exp_n83",0.856744991615479,1,0
"exp_n83",0.857035618840039,30,2
"exp_n83",0.860167725406621,30,30
"exp_n83",0.86020506886959,5,0
"exp_n83",0.867533663126361,30,2
"exp_n83",0.883068050153256,4,0
"exp_n83",0.89039916438061,30,0
"exp_n83",0.921579246472785,30,1
"exp_n83",0.92960149033026,30,2
"exp_n83",0.930072203419715,17,2
"exp_n83",0.930240207102597,30,30
"exp_n83",0.931616451620172,73,0
"exp_n83",0.938021024781738,30,2
"exp_n83",0.946921236787768,36,3
"exp_n83",0.966567237255922,30,11
"exp_n83",0.971075893626035,2,2
"exp_n83",1.00565351711605,30,28
"exp_n83",1.01211903557601,30,18
"exp_n83",1.01824050756035,30,14
"exp_n83",1.02632317586279,30,24
"exp_n83",1.02836356871505,30,21
"exp_n83",1.04905825019597,30,28
"exp_n83",1.09806185230586,4,1
"exp_n830",0,30,0
"exp_n830",0.698191145158568,2,0
"exp_n830",0.699697555584364,30,20
"exp_n830",0.710353094132031,30,5
"exp_n830",0.739027979179942,30,25
"exp_n830",0.750263568303347,30,18
"exp_n830",0.753608851085474,71,0
"exp_n830",0.753664719935439,30,3
"exp_n830",0.753852050886528,2,0
"exp_n830",0.758187178903,3,3
"exp_n830",0.770453692445044,3,0
"exp_n830",0.773089026944708,30,10
"exp_n830",0.801387001707524,30,16
"exp_n830",0.814632749763217,30,20
"exp_n830",0.823625663107294,4,0
"exp_n830",0.835587069684099,30,1
"exp_n830",0.837510797811418,30,7
"exp_n830",0.845237287750569,1,0
"exp_n830",0.850745411026914,4,0
"exp_n830",0.851361757069201,30,1
"exp_n830",0.85214274667568,30,30
"exp_n830",0.856559890720691,5,0
"exp_n830",0.882372493300042,30,2
"exp_n830",0.90624514845666,30,1
"exp_n830",0.90812656609842,30,29
"exp_n830",0.918672041996649,30,3
"exp_n830",0.921358571073237,73,0
"exp_n830",0.922314377214297,30,2
"exp_n830",0.923018892111759,17,3
"exp_n830",0.940951792065238,36,3
"exp_n830",0.948051525127745,2,1
"exp_n830",0.949082234413033,30,15
"exp_n830",0.983336692486461,30,28
"exp_n830",0.984538019622905,30,18
"exp_n830",0.992727745013569,30,19
"exp_n830",1.00040045660257,30,14
"exp_n830",1.01135620945934,30,14
"exp_n830",1.02116149291786,30,30
"exp_n830",1.04641523332824,4,0
"exp_n831",0,30,0
"exp_n831",0.683774126629733,30,25
"exp_n831",0.690814599056302,2,0
"exp_n831",0.715836934832919,30,21
"exp_n831",0.715962374331607,30,2
"exp_n831",0.73051217362508,3,0
"exp_n831",0.740479537684025,30,11
"exp_n831",0.745240254849092,2,0
"exp_n831",0.748281347737979,71,0
"exp_n831",0.752388310138753,30,1
"exp_n831",0.754765136188971,3,3
"exp_n831",0.766628530374562,30,4
"exp_n831",0.786903125444358,30,22
"exp_n831",0.801376032223686,30,24
"exp_n831",0.805407894589102,4,0
"exp_n831",0.826768782100854,30,5
"exp_n831",0.826986588546466,1,0
"exp_n831",0.82934953358871,4,0
"exp_n831",0.833439107377622,30,0
"exp_n831",0.838447202499127,30,30
"exp_n831",0.862382116627219,5,0
"exp_n831",0.871638250804175,30,1
"exp_n831",0.881771907433679,30,29
"exp_n831",0.882991848563635,30,1
"exp_n831",0.901902695841721,30,0
"exp_n831",0.905806017738532,73,0
"exp_n831",0.906171526987285,17,3
"exp_n831",0.910133339116191,30,5
"exp_n831",0.918185909659445,36,1
"exp_n831",0.921862207872555,30,2
"exp_n831",0.927939301830601,30,16
"exp_n831",0.933128161195595,2,0
"exp_n831",0.963470286528155,30,28
"exp_n831",0.96416360478478,30,20
"exp_n831",0.965787708872357,30,22
"exp_n831",0.975368419241393,30,16
"exp_n831",0.97690082288905,30,15
"exp_n831",0.979447226621592,30,28
"exp_n831",1.02918917343238,4,0
"exp_n832",0,30,0
"exp_n832",0.682744923819914,2,0
"exp_n832",0.690030962141157,30,23
"exp_n832",0.708023622121457,30,6
"exp_n832",0.711040438918109,30,22
"exp_n832",0.739570498603521,71,0
"exp_n832",0.744014005349553,30,11
"exp_n832",0.745292944283342,3,3
"exp_n832",0.745661269206694,2,0
"exp_n832",0.752087965803423,3,0
"exp_n832",0.763540397837945,30,9
"exp_n832",0.766623533505076,30,2
"exp_n832",0.777176253312887,30,21
"exp_n832",0.800021694852003,30,24
"exp_n832",0.807278473090196,4,0
"exp_n832",0.81990576452623,4,0
"exp_n832",0.825903870219491,30,30
"exp_n832",0.826360818831417,30,2
"exp_n832",0.828230091642928,30,4
"exp_n832",0.836374345176463,1,0
"exp_n832",0.858787246916269,5,0
"exp_n832",0.870678238240894,30,3
"exp_n832",0.877630716948109,30,4
"exp_n832",0.881756731385394,30,28
"exp_n832",0.904522492774783,30,6
"exp_n832",0.911196053975209,30,4
"exp_n832",0.918931208502768,17,6
"exp_n832",0.919786026077283,30,0
"exp_n832",0.922558109499306,73,0
"exp_n832",0.925930022757384,36,2
"exp_n832",0.929104746632724,30,14
"exp_n832",0.935152898409321,2,2
"exp_n832",0.957547917871327,30,28
"exp_n832",0.965617449155451,30,18
"exp_n832",0.974717666642863,30,11
"exp_n832",0.97552323038234,30,11
"exp_n832",0.982427217738655,30,15
"exp_n832",1.01473847801687,30,28
"exp_n832",1.02058613691412,4,0
"exp_n833",0,30,0
"exp_n833",0.699628865970662,2,0
"exp_n833",0.703679135974994,30,23
"exp_n833",0.718110591921043,30,6
"exp_n833",0.722206400065104,30,19
"exp_n833",0.746178140469517,71,0
"exp_n833",0.74999863156621,2,0
"exp_n833",0.755298987374021,30,10
"exp_n833",0.756496425692529,30,6
"exp_n833",0.764383165351036,3,0
"exp_n833",0.770322542900393,3,3
"exp_n833",0.780444554629746,30,9
"exp_n833",0.79420819096338,30,17
"exp_n833",0.812441106992849,4,0
"exp_n833",0.812782398794356,30,27
"exp_n833",0.829143079345171,4,0
"exp_n833",0.83767528415507,30,30
"exp_n833",0.842064163551777,30,5
"exp_n833",0.844669516421816,30,2
"exp_n833",0.844935833529003,1,0
"exp_n833",0.877593845043227,30,3
"exp_n833",0.879334427159566,5,0
"exp_n833",0.888079628591123,30,29
"exp_n833",0.902513559985606,30,4
"exp_n833",0.919791629931765,30,1
"exp_n833",0.92179263014452,17,7
"exp_n833",0.926152132792748,30,0
"exp_n833",0.927626166001764,73,0
"exp_n833",0.929625346499858,30,2
"exp_n833",0.936713818496731,36,7
"exp_n833",0.943989936766096,30,17
"exp_n833",0.944947331155893,2,1
"exp_n833",0.967491283236788,30,27
"exp_n833",0.980423917174463,30,21
"exp_n833",1.00030889357159,30,14
"exp_n833",1.00068726473274,30,21
"exp_n833",1.00338897673918,30,10
"exp_n833",1.01381190789435,30,29
"exp_n833",1.02832158932161,4,0
"exp_n834",0,30,0
"exp_n834",0.652565562989816,30,3
"exp_n834",0.704376392507783,30,23
"exp_n834",0.706574819736228,2,0
"exp_n834",0.720449100609429,30,5
"exp_n834",0.739532231777015,71,0
"exp_n834",0.747227330259569,30,9
"exp_n834",0.747642719478952,2,0
"exp_n834",0.763302857509839,30,13
"exp_n834",0.765670222944284,5,0
"exp_n834",0.770415018383453,30,2
"exp_n834",0.774750336784526,3,0
"exp_n834",0.776155317691884,3,3
"exp_n834",0.778193629632073,30,20
"exp_n834",0.817940942501399,30,2
"exp_n834",0.819152616900901,30,20
"exp_n834",0.832511606539291,30,6
"exp_n834",0.834422071225622,30,0
"exp_n834",0.835308241880884,1,0
"exp_n834",0.865608681314734,30,5
