"","set","Dose","N","Effect"
"568","exp_n112",0.000184182694052663,10,10
"569","exp_n112",0.000212466870233315,9,1
"570","exp_n112",0.00021360329795657,10,1
"571","exp_n112",0.000219200832660745,5,0
"572","exp_n112",0.000221968798510038,10,10
"573","exp_n112",0.000227754903879877,9,1
"574","exp_n112",0.000231724166982174,10,5
"575","exp_n112",0.000243519445922933,5,5
"576","exp_n112",0.000246743924007116,5,1
"577","exp_n112",0.000260137946006,5,1
"578","exp_n112",0.000345640395737716,9,5
"579","exp_n113",0,282,15
"580","exp_n113",8.56500981581241e-05,10,7
"581","exp_n113",8.97301793848109e-05,5,5
"582","exp_n113",9.36048493514133e-05,9,8
"583","exp_n113",0.000130144126651526,5,0
"584","exp_n113",0.000130415950002496,10,5
"585","exp_n113",0.000131235417261899,9,0
"586","exp_n113",0.000134160569611061,5,1
"587","exp_n113",0.000138362084882474,9,3
"588","exp_n113",0.000146261989843419,5,0
"589","exp_n113",0.000153883517711239,9,6
"590","exp_n113",0.00015423798285625,10,3
"591","exp_n113",0.000154478723676805,9,0
"592","exp_n113",0.000155575636342591,10,4
"593","exp_n113",0.000159003358439755,5,4
"594","exp_n113",0.000161362188840596,5,5
"595","exp_n113",0.000164896216493891,9,5
"596","exp_n113",0.000171029050223657,10,5
"597","exp_n113",0.0001732171049081,5,5
"598","exp_n113",0.000176361105846358,5,0
"599","exp_n113",0.000182016251332308,10,1
"600","exp_n113",0.000190804876381351,5,0
"601","exp_n113",0.000204167469672166,9,4
"602","exp_n113",0.000206158421025243,10,10
"603","exp_n113",0.000218470067640198,10,0
"604","exp_n113",0.000219156049948003,5,0
"605","exp_n113",0.000233491662775002,9,0
"606","exp_n113",0.000237704482331507,10,4
"607","exp_n113",0.000240708957893762,9,3
"608","exp_n113",0.000251659618903922,5,2
"609","exp_n113",0.000255245893926551,10,9
"610","exp_n113",0.000257868105095685,5,5
"611","exp_n113",0.000274246306781232,5,2
"612","exp_n113",0.000352948686923068,9,5
"613","exp_n114",0,282,11
"614","exp_n114",8.30375563349128e-05,10,7
"615","exp_n114",8.55252342767562e-05,5,5
"616","exp_n114",8.75245983009365e-05,9,9
"617","exp_n114",0.000124206805055522,9,0
"618","exp_n114",0.000125500974746154,5,0
"619","exp_n114",0.000127887192863868,10,1
"620","exp_n114",0.000128727951897072,5,1
"621","exp_n114",0.000132895024542297,9,4
"622","exp_n114",0.000142298740595107,10,8
"623","exp_n114",0.000145157098421516,5,0
"624","exp_n114",0.000147337337479909,9,0
"625","exp_n114",0.000148376215577,9,4
"626","exp_n114",0.000150607846845827,10,3
"627","exp_n114",0.000150967017911646,5,3
"628","exp_n114",0.000152105863107375,10,5
"629","exp_n114",0.000152838093332869,5,4
"630","exp_n114",0.000156642429227792,9,7
"631","exp_n114",0.000163020705258702,5,5
