set,Dose,N,Effect
exp_n21,0.001487717,10,4
exp_n21,0.005328596,10,3
exp_n21,0.011878657,10,6
exp_n21,0.022937474,10,10
exp_n21,0.048255723,10,10
exp_n21,0.002874713,9,0
exp_n21,0.0067558,9,0
exp_n21,0.01315133,9,0
exp_n21,0.0270191,9,3
exp_n21,0.050973225,9,7
exp_n21,0.00225814,10,1
exp_n21,0.005059992,10,0
exp_n21,0.007542115,10,2
exp_n21,0.016345376,10,3
exp_n21,0.054564867,10,5
exp_n21,0.00340742,9,1
exp_n21,0.007133352,9,2
exp_n21,0.014283633,9,7
exp_n21,0.02765156,9,4
exp_n21,0.061774652,9,9
exp_n21,0.012856029,3,1
exp_n21,0.017476491,3,0
exp_n21,0.022062838,3,2
exp_n21,0.026502404,3,3
exp_n21,0.040367504,3,3
exp_n22,0,285,6
exp_n22,0.002558695,5,0
exp_n22,0.005021154,5,4
exp_n22,0.010360212,5,5
exp_n22,0.021637135,5,5
exp_n22,0.040435442,5,5
exp_n22,0.00231822,5,0
exp_n22,0.004259903,5,0
exp_n22,0.009754763,5,0
exp_n22,0.018779878,5,0
exp_n22,0.037388405,5,5
exp_n22,0.003650003,5,0
exp_n22,0.007507334,5,1
exp_n22,0.015727272,5,3
exp_n22,0.001407217,10,3
exp_n22,0.005264653,10,6
exp_n22,0.01134016,10,4
exp_n22,0.020677711,10,9
exp_n22,0.038114581,10,10
exp_n22,0.003069657,9,0
exp_n22,0.005973704,9,0
exp_n22,0.013196557,9,1
exp_n22,0.026131721,9,2
exp_n22,0.051127556,9,7
exp_n22,0.00240998,10,2
exp_n22,0.005182571,10,0
exp_n22,0.008843271,10,4
exp_n22,0.027104959,10,4
exp_n22,0.035809889,10,10
exp_n22,0.003411958,9,0
exp_n22,0.006614224,9,3
exp_n22,0.013249825,9,8
exp_n22,0.028073233,9,4
exp_n22,0.059159151,9,8
exp_n22,0.012688998,3,0
exp_n22,0.017205608,3,1
exp_n22,0.021720485,3,2
exp_n22,0.026011489,3,3
exp_n22,0.03962194,3,3
exp_n23,0,285,18
exp_n23,0.002485116,5,0
exp_n23,0.004922408,5,2
exp_n23,0.010531858,5,5
exp_n23,0.020962078,5,5
exp_n23,0.040003839,5,5
exp_n23,0.002162318,5,0
exp_n23,0.004386549,5,0
exp_n23,0.008556618,5,0
exp_n23,0.01964483,5,1
exp_n23,0.038941825,5,4
exp_n23,0.003703092,5,0
exp_n23,0.007583838,5,0
exp_n23,0.014955704,5,5
exp_n23,0.001497067,10,1
exp_n23,0.005514423,10,3
exp_n23,0.011547071,10,5
exp_n23,0.022133002,10,9
